date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:08	173/173	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2014:43:08%20GMT	https://moonshots.farm/goo	C:/Mis%20lugares%20Web/cucu/moonshots.farm/goo.0.delayed	(from )
16:43:09	138/138	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20May%202024%2014:43:09%20GMT	https://moonshots.farm/robots.txt		(from )
16:43:09	63135/63135	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2018:49:02%20GMT	https://moonshots.farm/goo/	C:/Mis%20lugares%20Web/cucu/moonshots.farm/goo/index.html	(from )
16:43:09	62825/62825	---M--	200	added ('OK')	image/png	etag:W/%22f569-17ea7466285%22	https://moonshots.farm/assets/img/favicon/apple-touch-icon.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/favicon/apple-touch-icon.png	(from https://moonshots.farm/goo/)
16:43:09	55142/55142	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20May%202023%2015:07:05%20GMT	https://moonshots.farm/	C:/Mis%20lugares%20Web/cucu/moonshots.farm/index.html	(from https://moonshots.farm/goo/)
16:43:09	3034/3034	---M--	200	added ('OK')	image/png	etag:W/%22bda-17ea7466289%22	https://moonshots.farm/assets/img/favicon/favicon-32x32.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/favicon/favicon-32x32.png	(from https://moonshots.farm/goo/)
16:43:10	987/987	---M--	200	added ('OK')	image/png	etag:W/%223db-17ea7466289%22	https://moonshots.farm/assets/img/favicon/favicon-16x16.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/favicon/favicon-16x16.png	(from https://moonshots.farm/goo/)
16:43:10	263/263	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%22107-17ea7466289%22	https://moonshots.farm/assets/img/favicon/site.webmanifest	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/favicon/site.webmanifest	(from https://moonshots.farm/goo/)
16:43:10	2305/2305	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22901-1744b7f1dc0%22	https://moonshots.farm/assets/img/favicon/safari-pinned-tab.svg	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/favicon/safari-pinned-tab.svg	(from https://moonshots.farm/goo/)
16:43:10	56842/56842	---MCZ	200	added ('OK')	text/css	etag:W/%22de0a-74389e3a20%22	https://moonshots.farm/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/Mis%20lugares%20Web/cucu/moonshots.farm/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://moonshots.farm/goo/)
16:43:11	696338/696338	---MCZ	200	added ('OK')	text/css	etag:W/%22aa012-17f362ef3d0%22	https://moonshots.farm/css/main1.css	C:/Mis%20lugares%20Web/cucu/moonshots.farm/css/main1.css	(from https://moonshots.farm/goo/)
16:43:11	10144/10144	---M--	200	added ('OK')	image/png	etag:W/%2227a0-17ea6eff546%22	https://moonshots.farm/assets/img/logo.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/logo.png	(from https://moonshots.farm/goo/)
16:43:11	175/175	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2014:43:11%20GMT	https://moonshots.farm/fomo	C:/Mis%20lugares%20Web/cucu/moonshots.farm/fomo	(from https://moonshots.farm/goo/)
16:43:11	933/933	---M--	200	added ('OK')	image/png	etag:W/%223a5-1810c3d9a48%22	https://moonshots.farm/assets/img/goo.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/goo.png	(from https://moonshots.farm/goo/)
16:43:11	5264/5264	---M--	200	added ('OK')	image/png	etag:W/%221490-1810c7612e0%22	https://moonshots.farm/assets/img/chest.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/chest.png	(from https://moonshots.farm/goo/)
16:43:12	70765/70765	---M--	200	added ('OK')	image/gif	etag:W/%221146d-1810c3d999c%22	https://moonshots.farm/assets/img/factory.gif	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/factory.gif	(from https://moonshots.farm/goo/)
16:43:12	38598/38598	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2012:18:53%20GMT	https://moonshots.farm/fomo/	C:/Mis%20lugares%20Web/cucu/moonshots.farm/fomo/index.html	(from https://moonshots.farm/goo/)
16:43:12	33373/33373	---M--	200	added ('OK')	image/png	etag:W/%22825d-1810c3d9f0c%22	https://moonshots.farm/assets/img/treasurechest.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/treasurechest.png	(from https://moonshots.farm/goo/)
16:43:12	26429/26429	---M--	200	added ('OK')	image/png	etag:W/%22673d-1810c3d967c%22	https://moonshots.farm/assets/img/apeswap.png	C:/Mis%20lugares%20Web/cucu/moonshots.farm/assets/img/apeswap.png	(from https://moonshots.farm/goo/)
